wavelength_nm, transmission_pct
312.8123707600368, 80.56666989149306
317.59588114451765, 81.79078429475592
322.37864055008504, 83.12322740627212
327.16203828772893, 84.36359111577296
331.9453609274814, 85.61478769609914
337.2598885016048, 87.04472664504335
342.57486666307625, 88.40966836903556
347.8893942371996, 89.83960731797976
353.73874396079333, 90.92650535745503
360.1216892349655, 91.8472993776085
366.5051351617467, 92.69587425892641
372.35628723473246, 93.52278339859363
380.8707359587174, 94.1944213897644
387.7910066454044, 94.41107880627109
397.3719956221547, 94.84439363928449
404.82471035841985, 95.0610510557912
414.4056993351701, 95.4943658888046
422.92330217059117, 95.71102330531129
429.31112880770024, 95.92768072181798
435.69895544480937, 96.14433813832468
442.08753306083184, 96.25266684657804
448.47611067685426, 96.36099555483139
454.59921724700115, 96.36099555483139
471.90064494263225, 96.79431038784477
478.2914754953948, 96.57765297133808
484.14986199857935, 96.36099555483139
492.1361472527925, 96.41515990895806
498.841562872365, 96.90263909609813
501.828656598178, 96.12267239667402
508.1112210242633, 96.16239292303358
514.5041793506138, 95.63880416647572
520.3644683337122, 95.14771402239387
528.2490960756857, 94.50496368675734
534.7457312131316, 94.38700575999258
541.1386060973807, 93.87545352657398
547.5313975395281, 93.37593781629465
553.9246061921831, 92.816239490319
560.3183572184976, 92.17830376393817
566.7122125474391, 91.52532238363327
573.1064850868879, 90.81215838763205
577.3777610987705, 89.12102688656589
580.5835649167867, 87.51415104747454
583.7894938979551, 85.88922042367429
586.9954228791236, 84.26428979987406
590.2012266971398, 82.65741396078272
593.4069053520037, 81.06859290640026
596.6124588437156, 79.4978266367267
600.6547995298729, 77.91416409226107
606.7494225426626, 76.53684194446848
612.0824241980549, 75.3018946703803
617.4152756576646, 74.08861313794279
623.2807213626347, 72.85366586385462
629.6781855624654, 71.68010485777667
636.0743981307737, 70.68709169878764
642.4708610253866, 69.65796897038081
648.8671987568473, 68.64690102668288
654.7315680587083, 67.56722490109118
660.5969887310482, 66.33588858394478
666.9942026045743, 65.19843714728461
673.3917919675573, 64.00682135649777
678.7258700260586, 62.61660293391312
682.9942464249146, 61.34374061193627
687.263373802684, 59.962549581706064
692.5941976192274, 59.0417555615526
696.7601029453543, 57.18933465042032
698.260408618481, 55.824392926428125
460.1630924997495, 96.61495063469675
466.402260610668, 96.61495063469675
