wavelength_nm,Lamb_W_m2_nm_sr
313.91433786263406,0.03077075446074083
319.78435362224064,0.05354537435619396
326.61439021867534,0.11024695228805587
332.85793858910915,0.11976578904174404
339.4215127091801,0.13362166928965885
345.9290884343736,0.14007550352966297
352.3340693837272,0.14751453909638032
358.7401315646809,0.1287943252147612
365.14497148382577,0.19327215595555816
371.87044828351225,0.20899597200681966
377.9557325537156,0.261127427623832
384.363722147522,0.17902525754672527
390.4705182255627,0.25059573525591494
391.8329640619787,0.25783075151276424
398.7760692777547,0.32512291797830645
404.65148179334847,0.358690019387341
410.9798940845234,0.3666039776113418
417.463596753242,0.37728402171769465
423.8717132742362,0.37756065068348926
430.27746048772383,0.2674341292682134
436.6843218398604,0.4356213236516517
443.09095754366297,0.4548844887191681
449.4980304411125,0.48373463142210343
455.90566745939714,0.49409378960598677
462.3128813870554,0.504174271982788
468.7200247996094,0.4941353606386768
475.1272387272678,0.5084673013347282
481.5346406952044,0.5110748435881427
487.9427948242543,0.4816776752159992
494.3519126597304,0.4931994827960695
500.4905874412016,0.4771223742608107
507.6992936738162,0.4778475841240018
513.0391839303386,0.47380059270905994
519.982178672451,0.47008608359106663
526.3915221562611,0.4459860124212218
533.8678719932376,0.4608608697064395
540.2758897930856,0.4439195515218556
546.6845563318939,0.4636008395064501
553.0932510767439,0.45576343114887163
559.5016637611762,0.43334220660595674
565.9103585060262,0.4253585785714666
572.319194281085,0.4425775581544269
578.7309916905268,0.4198430690061871
585.145750734352,0.41931767240579204
591.560509778177,0.3829049516319931
597.9747047011672,0.37267363203142007
604.387066231444,0.3705126135712251
610.7977353992161,0.35715633971861366
617.2085455971969,0.34146572633162664
623.6193557951777,0.33287644633972396
630.0297429025323,0.3228498409756804
636.4398479494696,0.3275292944132761
642.8499529964067,0.32646151479172436
649.2601990735527,0.3001416809008394
655.6704451506986,0.27060819785392776
662.0806912278446,0.29719136469884827
668.4909373049904,0.3021928369132465
674.9017475029713,0.29050951884015996
681.3158013957528,0.279910619005246
687.7301373489518,0.2091117716238621
694.1448963927768,0.2330320471398817
699.219304332886,0.23799450497374824
