SNR_dB,PER_128B,PER_256B,PER_512B
-inf,1.0,1.0,1.0
-2755.629036690855,1.0,1.0,1.0
-2276.680442176871,1.0,1.0,1.0
-1831.136884514037,1.0,1.0,1.0
-1421.5051319689392,1.0,1.0,1.0
-1051.0631951095916,1.0,1.0,1.0
-724.3413333143668,1.0,1.0,1.0
-448.1923798534415,1.0,1.0,1.0
-234.99065406322353,1.0,1.0,1.0
-126.93299677334625,1.0,1.0,1.0
-85.71401429576439,1.0,1.0,1.0
-54.35050375317624,1.0,1.0,1.0
-26.63183862385454,1.0,1.0,1.0
-4.043025593173139,1.0,1.0,1.0
6.149165095021728,0.9999999999999977,1.0,1.0
13.107656121067672,0.020675644840410734,0.040923807391254674,0.08017285677111285
18.35146813985315,5.5706550483591855e-11,1.1141310096718371e-10,2.2282620193436742e-10
22.673929829873867,0.0,0.0,0.0
26.411081003517193,0.0,0.0,0.0
29.75308114441947,0.0,0.0,0.0
32.82544311938617,0.0,0.0,0.0
35.66433056583327,0.0,0.0,0.0
38.320748384539755,0.0,0.0,0.0
40.81889782250579,0.0,0.0,0.0
43.179977706307824,0.0,0.0,0.0
45.4432767967473,0.0,0.0,0.0
47.63010259789667,0.0,0.0,0.0
49.76611895979082,0.0,0.0,0.0
51.8660930521786,0.0,0.0,0.0
53.9387746132505,0.0,0.0,0.0
55.98591365184162,0.0,0.0,0.0
58.00940364680743,0.0,0.0,0.0
60.012803529112176,0.0,0.0,0.0
62.005632185021966,0.0,0.0,0.0
64.00145473015307,0.0,0.0,0.0
66.0150658747325,0.0,0.0,0.0
68.05801705543882,0.0,0.0,0.0
70.14002111165294,0.0,0.0,0.0
72.26768951472675,0.0,0.0,0.0
74.4471643240842,0.0,0.0,0.0
76.68780456045879,0.0,0.0,0.0
79.00457482690827,0.0,0.0,0.0
81.42039618875096,0.0,0.0,0.0
83.96439481936703,0.0,0.0,0.0
86.67283826600718,0.0,0.0,0.0
89.41060318473362,0.0,0.0,0.0
89.59103512598924,0.0,0.0,0.0
89.9564679563604,0.0,0.0,0.0
90.5417976426537,0.0,0.0,0.0
92.77816791198704,0.0,0.0,0.0
